경찰청대분류,경찰청세분류,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
경찰청대분류,경찰청세분류,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,횡단중,횡단중,횡단중,차도통행중,차도통행중,차도통행중,길가장자리구역통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,보도통행중,기타,기타,기타,정면충돌,정면충돌,정면충돌,측면충돌,측면충돌,측면충돌,추돌,추돌,추돌,기타,기타,기타,후진중충돌,후진중충돌,후진중충돌,공작물충돌,공작물충돌,공작물충돌,주/정차차량 충돌,주/정차차량 충돌,주/정차차량 충돌,도로이탈,도로이탈,도로이탈,기타,기타,기타,전도,전도,전도,전복,전복,전복,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명]
서울지방경찰청,서울양천,77,3,77,13,1,12,7,0,8,14,0,14,150,3,152,18,0,27,281,0,412,147,0,223,407,1,542,27,0,30,7,0,7,-,-,-,-,-,-,19,0,19,1,0,1,1,0,1,-,-,-
서울지방경찰청,서울노원,113,1,121,35,1,35,9,0,10,28,0,28,125,0,130,28,0,53,446,1,652,225,0,394,308,1,398,23,0,29,13,2,16,-,-,-,-,-,-,29,0,32,1,0,1,1,0,4,-,-,-
서울지방경찰청,서울도봉,68,1,76,9,0,11,13,0,13,13,0,17,57,1,60,28,0,43,161,0,218,73,0,131,70,0,97,9,0,17,3,0,4,-,-,-,-,-,-,16,0,16,1,0,1,-,-,-,-,-,-
서울지방경찰청,서울은평,42,0,43,13,0,13,14,0,14,9,0,9,65,1,68,10,0,16,95,0,149,57,0,96,140,1,209,12,0,13,1,0,1,-,-,-,-,-,-,10,0,10,4,1,3,-,-,-,-,-,-
서울지방경찰청,서울방배,27,1,27,8,0,8,7,0,7,12,0,13,37,0,39,12,0,22,205,0,330,89,0,144,60,0,98,11,0,20,1,0,1,-,-,-,-,-,-,7,0,9,-,-,-,-,-,-,-,-,-
서울지방경찰청,서울수서,89,4,91,21,0,21,32,0,32,26,0,28,174,1,180,33,0,74,329,1,496,225,1,354,560,2,802,18,0,23,5,0,8,-,-,-,-,-,-,24,0,24,1,0,1,1,0,4,-,-,-
부산지방경찰청,부산중부,43,1,44,20,0,20,4,0,4,9,0,10,40,1,40,13,0,19,146,1,230,32,0,41,41,0,53,2,0,3,3,0,3,-,-,-,-,-,-,13,0,22,1,0,1,-,-,-,-,-,-
부산지방경찰청,부산동부,51,1,55,36,1,37,6,0,7,16,0,16,35,0,35,11,0,13,196,1,314,75,1,125,85,0,168,6,0,7,3,0,3,-,-,-,-,-,-,15,0,15,-,-,-,-,-,-,-,-,-
부산지방경찰청,부산서부,44,1,44,14,0,14,3,1,2,5,0,5,37,1,45,12,0,24,181,0,272,57,1,113,64,0,96,6,0,9,6,0,8,-,-,-,-,-,-,10,0,10,1,0,1,-,-,-,-,-,-
부산지방경찰청,부산남부,94,4,95,34,0,37,39,0,40,29,3,27,142,0,144,33,0,49,339,1,465,183,0,286,316,2,430,10,0,15,10,0,11,-,-,-,-,-,-,24,1,24,5,1,4,-,-,-,-,-,-
부산지방경찰청,부산북부,34,0,34,8,0,8,3,0,3,1,0,1,64,2,65,5,0,6,68,0,103,66,0,117,185,2,251,5,0,8,1,0,1,-,-,-,-,-,-,7,0,7,-,-,-,-,-,-,-,-,-
부산지방경찰청,부산동래,117,2,116,38,1,38,6,0,6,11,0,12,61,0,62,15,0,29,273,1,368,105,0,163,155,1,206,17,0,23,10,2,12,-,-,-,-,-,-,13,0,20,1,0,1,-,-,-,-,-,-
부산지방경찰청,부산영도,29,0,31,11,0,11,2,0,2,9,0,11,50,1,52,8,0,12,67,1,92,49,0,91,49,0,77,9,0,12,-,-,-,-,-,-,1,0,1,11,0,11,4,0,4,-,-,-,-,-,-
부산지방경찰청,부산해운대,70,1,70,16,1,16,8,1,8,19,0,19,79,0,83,27,0,37,232,0,337,145,0,243,181,3,281,14,0,21,10,0,12,-,-,-,-,-,-,6,0,7,5,0,7,-,-,-,1,0,3
부산지방경찰청,부산부산진,152,2,163,34,0,34,24,0,26,8,0,8,187,1,195,31,0,41,403,0,593,220,2,381,416,3,609,10,0,13,11,2,13,-,-,-,1,0,2,31,0,34,7,0,8,-,-,-,-,-,-
부산지방경찰청,부산금정,86,0,92,25,1,25,16,2,14,8,0,8,111,1,114,16,0,23,223,1,330,96,1,159,180,1,256,7,1,7,9,2,9,-,-,-,-,-,-,14,1,17,2,0,3,-,-,-,-,-,-
부산지방경찰청,부산사하,66,1,69,19,0,20,12,0,12,11,0,11,86,1,98,27,0,34,200,0,273,172,1,288,274,2,350,12,0,14,5,2,5,-,-,-,-,-,-,26,0,27,5,0,6,-,-,-,-,-,-
부산지방경찰청,부산연제,61,2,62,14,1,13,13,0,13,10,0,11,100,1,104,12,0,17,200,0,265,123,1,187,266,0,382,5,0,8,2,0,2,-,-,-,1,0,1,12,0,12,-,-,-,-,-,-,-,-,-
부산지방경찰청,부산강서,25,0,25,7,1,7,3,0,4,4,0,4,20,2,18,19,0,23,266,4,366,155,3,300,192,1,254,7,0,9,14,4,13,-,-,-,1,0,2,7,1,6,-,-,-,-,-,-,-,-,-
